N,n,p,mean_E,std_E
4,2,2,-0.550079,0.000059
6,2,2,-0.500339,0.000042
8,2,2,-0.480216,0.000033
10,2,2,-0.469341,0.000066
14,2,2,-0.457866,0.000041
16,2,2,-0.454480,0.000060
20,2,2,-0.449783,0.000042
30,2,2,-0.443884,0.000030
40,2,2,-0.441062,0.000038
9,3,2,-0.499138,0.000071
12,3,2,-0.482508,0.000049
18,3,2,-0.467681,0.000071
21,3,2,-0.463700,0.000078
27,3,2,-0.458678,0.000058
36,3,2,-0.454368,0.000077
16,4,2,-0.483701,0.000051
20,4,2,-0.475659,0.000033
24,4,2,-0.470423,0.000036
28,4,2,-0.466874,0.000027
32,4,2,-0.464274,0.000054
40,4,2,-0.460707,0.000046
25,5,2,-0.477021,0.000055
30,5,2,-0.472327,0.000046
35,5,2,-0.468891,0.000020
40,5,2,-0.466561,0.000031
4,2,4,-0.416946,0.000013
8,2,4,-0.374168,0.000013
12,2,4,-0.362759,0.000015
20,2,4,-0.354339,0.000009
26,2,4,-0.351529,0.000011
30,2,4,-0.350329,0.000013
40,2,4,-0.348373,0.000012
44,2,4,-0.347880,0.000018
50,2,4,-0.347252,0.000014
9,3,4,-0.382711,0.000006
12,3,4,-0.373119,0.000012
15,3,4,-0.367677,0.000015
21,3,4,-0.361826,0.000012
30,3,4,-0.357607,0.000011
36,3,4,-0.356000,0.000170
42,3,4,-0.354869,0.000011
51,3,4,-0.353697,0.000025
16,4,4,-0.372512,0.000033
20,4,4,-0.367865,0.000029
32,4,4,-0.361353,0.000024
36,4,4,-0.360167,0.000033
40,4,4,-0.359214,0.000028
48,4,4,-0.357811,0.000027
